dist_name,code,reg_name
Benešov,CZ0201,Středočeský kraj
Beroun,CZ0202,Středočeský kraj
Blansko,CZ0641,Jihomoravský kraj
Brno-město,CZ0642,Jihomoravský kraj
Brno-venkov,CZ0643,Jihomoravský kraj
Bruntál,CZ0801,Moravskoslezský kraj
Břeclav,CZ0644,Jihomoravský kraj
Cheb,CZ0411,Karlovarský kraj
Chomutov,CZ0422,Ústecký kraj
Chrudim,CZ0531,Pardubický kraj
Česká Lípa,CZ0511,Liberecký kraj
České Budějovice,CZ0311,Jihočeský kraj
Český Krumlov,CZ0312,Jihočeský kraj
Děčín,CZ0421,Ústecký kraj
Domažlice,CZ0321,Plzeňský kraj
Frýdek-Místek,CZ0802,Moravskoslezský kraj
Havlíčkův Brod,CZ0631,Kraj Vysočina
Hlavní město Praha,CZ0100,Hlavní město Praha
Hodonín,CZ0645,Jihomoravský kraj
Hradec Králové,CZ0521,Královéhradecký kraj
Jablonec nad Nisou,CZ0512,Liberecký kraj
Jeseník,CZ0711,Olomoucký kraj
Jičín,CZ0522,Královéhradecký kraj
Jihlava,CZ0632,Kraj Vysočina
Jindřichův Hradec,CZ0313,Jihočeský kraj
Karlovy Vary,CZ0412,Karlovarský kraj
Karviná,CZ0803,Moravskoslezský kraj
Kladno,CZ0203,Středočeský kraj
Klatovy,CZ0322,Plzeňský kraj
Kolín,CZ0204,Středočeský kraj
Kroměříž,CZ0721,Zlínský kraj
Kutná Hora,CZ0205,Středočeský kraj
Liberec,CZ0513,Liberecký kraj
Litoměřice,CZ0423,Ústecký kraj
Louny,CZ0424,Ústecký kraj
Mělník,CZ0206,Středočeský kraj
Mladá Boleslav,CZ0207,Středočeský kraj
Most,CZ0425,Ústecký kraj
Náchod,CZ0523,Královéhradecký kraj
Nový Jičín,CZ0804,Moravskoslezský kraj
Nymburk,CZ0208,Středočeský kraj
Olomouc,CZ0712,Olomoucký kraj
Opava,CZ0805,Moravskoslezský kraj
Ostrava-město,CZ0806,Moravskoslezský kraj
Pardubice,CZ0532,Pardubický kraj
Pelhřimov,CZ0633,Kraj Vysočina
Písek,CZ0314,Jihočeský kraj
Plzeň-jih,CZ0324,Plzeňský kraj
Plzeň-město,CZ0323,Plzeňský kraj
Plzeň-sever,CZ0325,Plzeňský kraj
Prachatice,CZ0315,Jihočeský kraj
Praha-východ,CZ0209,Středočeský kraj
Praha-západ,CZ020A,Středočeský kraj
Prostějov,CZ0713,Olomoucký kraj
Přerov,CZ0714,Olomoucký kraj
Příbram,CZ020B,Středočeský kraj
Rakovník,CZ020C,Středočeský kraj
Rokycany,CZ0326,Plzeňský kraj
Rychnov nad Kněžnou,CZ0524,Královéhradecký kraj
Semily,CZ0514,Liberecký kraj
Sokolov,CZ0413,Karlovarský kraj
Strakonice,CZ0316,Jihočeský kraj
Svitavy,CZ0533,Pardubický kraj
Šumperk,CZ0715,Olomoucký kraj
Tábor,CZ0317,Jihočeský kraj
Tachov,CZ0327,Plzeňský kraj
Teplice,CZ0426,Ústecký kraj
Trutnov,CZ0525,Královéhradecký kraj
Třebíč,CZ0634,Kraj Vysočina
Uherské Hradiště,CZ0722,Zlínský kraj
Ústí nad Labem,CZ0427,Ústecký kraj
Ústí nad Orlicí,CZ0534,Pardubický kraj
území Hlavního města Prahy,CZ0100,Hlavní město Praha
Vsetín,CZ0723,Zlínský kraj
Vyškov,CZ0646,Jihomoravský kraj
Zlín,CZ0724,Zlínský kraj
Znojmo,CZ0647,Jihomoravský kraj
Žďár nad Sázavou,CZ0635,Kraj Vysočina
